"","Game","Genre","Year","Month","Earnings","Players","Tournaments","Rank","Hours_watched","Hours_Streamed","Peak_viewers","Peak_channels","Streamers","Avg_viewers","Avg_channels","Avg_viewer_ratio"
"390","Dota 2","Multiplayer Online Battle Arena",2019,3,2375413.65,335,22,6,50333147,563468,357971,1456,47351,67743,758,89.33
"391","Dota 2","Multiplayer Online Battle Arena",2019,4,875430.28,212,19,7,29498775,450484,146659,1330,36752,41027,626,65.48
"392","Dota 2","Multiplayer Online Battle Arena",2019,5,1153882.77,202,13,5,46710399,490819,402168,1257,37723,62867,660,95.17
"393","Dota 2","Multiplayer Online Battle Arena",2019,6,1917702.02,432,27,5,42929219,440912,436845,1118,35018,59706,613,97.36
"394","Dota 2","Multiplayer Online Battle Arena",2019,7,317585.74,175,11,6,40975198,461803,278581,1081,35274,55148,621,88.73
"395","Dota 2","Multiplayer Online Battle Arena",2019,8,34460762.14,422,28,3,70885379,487148,1045985,1174,37081,95404,655,145.51
"396","Dota 2","Multiplayer Online Battle Arena",2019,9,413383.95,320,34,7,25854637,449103,126517,1269,34090,35959,624,57.57
"397","Dota 2","Multiplayer Online Battle Arena",2019,10,860345.5,205,14,7,30033003,449514,176174,1218,31508,40421,604,66.81
"398","Dota 2","Multiplayer Online Battle Arena",2019,11,1562899.42,284,19,5,34770932,428219,243245,1267,30472,48360,595,81.2
"399","Dota 2","Multiplayer Online Battle Arena",2019,12,780986,233,18,6,34260252,419408,200393,1072,30022,46110,564,81.69
"400","Dota 2","Multiplayer Online Battle Arena",2020,1,1414185.6,194,8,5,44025208,442024,364279,1055,30616,59253,594,99.6
"401","Dota 2","Multiplayer Online Battle Arena",2020,2,358087,65,4,7,34971672,436925,236718,1176,29417,50318,628,80.04
"402","Dota 2","Multiplayer Online Battle Arena",2020,3,906760,228,18,7,41849138,544228,164524,1490,35212,56324,732,76.9
"403","Dota 2","Multiplayer Online Battle Arena",2020,4,623956,345,20,8,54477072,673933,360147,1747,34147,75767,937,80.83
"404","Dota 2","Multiplayer Online Battle Arena",2020,5,1103089.17,321,22,8,51023847,717401,199291,1758,33057,68672,965,71.12
"405","Dota 2","Multiplayer Online Battle Arena",2020,6,896917.98,324,15,9,41177114,569147,212444,1490,27354,57269,791,72.35
"406","Dota 2","Multiplayer Online Battle Arena",2020,7,680258,234,8,9,35906928,571211,193157,1301,27565,48326,768,62.86
"407","Dota 2","Multiplayer Online Battle Arena",2020,8,255552.21,235,10,10,38252005,554956,170474,1247,26864,51483,746,68.93
"408","Dota 2","Multiplayer Online Battle Arena",2020,9,1083618.14,361,15,9,38107678,551165,269456,1402,26860,53000,766,69.14
"409","Dota 2","Multiplayer Online Battle Arena",2020,10,194134.1,117,5,12,33523506,599493,155576,1573,28700,45119,806,55.92
"410","Dota 2","Multiplayer Online Battle Arena",2020,11,816662,344,21,14,40955503,626431,222257,1585,30556,56961,871,65.38
"411","Dota 2","Multiplayer Online Battle Arena",2020,12,1119349.53,315,12,13,42881664,631156,243589,1506,30337,57714,849,67.94
"412","Dota 2","Multiplayer Online Battle Arena",2021,1,72130.86,115,6,13,39545934,721543,153186,1810,33400,53224,971,54.81
"413","Dota 2","Multiplayer Online Battle Arena",2021,2,1450000,377,11,11,38907873,614150,218653,1725,29522,57984,915,63.35
"414","Dota 2","Multiplayer Online Battle Arena",2021,3,499747.7,253,9,10,39978562,659629,230592,1597,31292,53806,887,60.61
"415","Dota 2","Multiplayer Online Battle Arena",2021,4,556000,104,4,10,49785357,666178,372593,1658,32754,69242,926,74.73
"416","Dota 2","Multiplayer Online Battle Arena",2021,5,1751352.54,501,15,11,48762361,692413,269874,1594,33157,65629,931,70.42
"417","Dota 2","Multiplayer Online Battle Arena",2021,6,1114244.41,212,7,8,62316260,653133,375582,1544,31893,86670,908,95.41
"418","Dota 2","Multiplayer Online Battle Arena",2021,7,93000,5,1,11,42539578,677045,403938,1508,33330,57253,911,62.83
"419","Dota 2","Multiplayer Online Battle Arena",2021,8,716975,236,7,10,42716591,731191,218368,1701,35607,57492,984,58.42
"420","Dota 2","Multiplayer Online Battle Arena",2021,9,634186.6,245,6,12,34807412,682811,161687,1785,33889,48410,949,50.98
"421","Dota 2","Multiplayer Online Battle Arena",2021,10,40125696.75,190,4,4,98815597,701658,1636441,1895,34983,132995,944,140.83
"422","Dota 2","Multiplayer Online Battle Arena",2021,11,276592.31,296,10,10,37073193,747851,223679,1934,36951,51562,1040,49.57
"423","Dota 2","Multiplayer Online Battle Arena",2021,12,440634.6,142,5,11,43235580,714724,210062,1759,35356,58190,961,60.49
"424","Dota Underlords","Strategy",2019,6,1600,11,3,23,5864211,109758,62860,611,19793,8156,152,53.43
"425","Dota Underlords","Strategy",2019,8,16860.92,14,3,31,3558956,63567,20710,196,7855,4789,85,55.99
"426","Dota Underlords","Strategy",2019,9,2481.3,20,6,43,2220309,34369,14383,106,4299,3088,47,64.6
"427","Dota Underlords","Strategy",2019,10,1027.46,15,6,48,1970646,31492,13289,140,3900,2652,42,62.58
"428","Dota Underlords","Strategy",2019,11,360.75,4,6,68,1183349,24081,8474,89,3184,1645,33,49.14
"429","Dota Underlords","Strategy",2019,12,305.25,3,5,131,559008,14409,6922,48,2077,752,19,38.8
"430","Dota Underlords","Strategy",2020,2,3083.25,9,2,185,376249,13032,20152,103,2010,541,18,28.87
"431","Dragon Ball FighterZ","Fighting Game",2018,2,105,1,1,21,3853073,108567,45122,494,24416,5742,161,35.49
"432","Dragon Ball FighterZ","Fighting Game",2018,3,3571.5,8,3,39,2028354,59880,53093,286,14710,2729,80,33.87
"433","Dragon Ball FighterZ","Fighting Game",2018,4,1903.76,11,2,52,1293749,43508,40909,163,11162,1799,60,29.74
"434","Dragon Ball FighterZ","Fighting Game",2018,5,7947.06,12,2,58,1410855,33523,56869,201,8476,1898,45,42.09
"435","Dragon Ball FighterZ","Fighting Game",2018,6,28833.1,19,2,51,1658724,31666,34244,206,8298,2306,44,52.38
"436","Dragon Ball FighterZ","Fighting Game",2018,7,18947.74,13,4,84,936950,29337,51763,91,7719,1261,39,31.94
"437","Dragon Ball FighterZ","Fighting Game",2018,8,26442.2,9,2,40,2633933,37615,241067,192,9580,3544,50,70.02
"438","Dragon Ball FighterZ","Fighting Game",2018,9,13110,21,4,60,1156517,31366,25692,153,7785,1608,43,36.87
"439","Dragon Ball FighterZ","Fighting Game",2018,10,13530,14,3,72,1115228,30817,30606,103,7632,1500,41,36.19
"440","Dragon Ball FighterZ","Fighting Game",2018,11,6155.46,12,2,98,779557,26085,21522,93,6471,1084,36,29.89
"441","Dragon Ball FighterZ","Fighting Game",2018,12,12195.55,22,5,129,511805,24496,13144,99,6639,688,32,20.89
"442","Dragon Ball FighterZ","Fighting Game",2019,1,28796.91,21,4,62,1571733,29815,90224,178,7502,2115,40,52.72
"443","Dragon Ball FighterZ","Fighting Game",2019,2,24530.63,14,3,102,648560,29282,12418,191,6896,966,43,22.15
"444","Dragon Ball FighterZ","Fighting Game",2019,3,2740,8,3,110,627433,25657,14695,107,5675,844,34,24.45
"445","Dragon Ball FighterZ","Fighting Game",2019,4,1420,6,2,129,539064,24030,18169,84,5427,749,33,22.43
"446","Dragon Ball FighterZ","Fighting Game",2019,5,9653.72,18,3,126,552492,22759,34891,123,5380,743,30,24.28
"447","Dragon Ball FighterZ","Fighting Game",2019,6,5775.5,13,3,166,395894,17477,10012,60,4100,550,24,22.65
"448","Dragon Ball FighterZ","Fighting Game",2019,7,5587.52,33,7,155,390173,17849,8640,60,3951,525,24,21.86
"449","Dragon Ball FighterZ","Fighting Game",2019,8,23052.98,22,3,77,976360,25269,110818,126,5777,1314,34,38.64
"450","Dragon Ball FighterZ","Fighting Game",2019,9,4245.8,27,5,117,508723,22517,10593,150,4796,707,31,22.59
"451","Dragon Ball FighterZ","Fighting Game",2019,10,5866.98,13,3,115,583900,20537,13968,71,4204,785,27,28.43
"452","Dragon Ball FighterZ","Fighting Game",2019,11,11782.73,27,4,92,763849,17919,33017,67,3916,1062,24,42.63
"453","Dragon Ball FighterZ","Fighting Game",2019,12,600,5,2,140,479206,24940,18873,133,5739,644,33,19.21
"454","Dragon Ball FighterZ","Fighting Game",2020,1,1580,8,1,179,386361,23099,6241,76,5259,520,31,16.73
"455","Dragon Ball FighterZ","Fighting Game",2020,2,80476.76,20,2,67,1409609,32183,89981,289,6846,2028,46,43.8
"456","Dragon Ball FighterZ","Fighting Game",2020,3,365.5,3,1,118,807750,37304,17899,124,7300,1087,50,21.65
"457","Dragon Ball FighterZ","Fighting Game",2020,4,210.2,3,1,199,447461,34552,4591,108,5093,622,48,12.95
"458","Dragon Ball FighterZ","Fighting Game",2020,5,550.98,6,3,134,981748,52580,18914,252,7569,1321,70,18.67
"459","Dragon Ball FighterZ","Fighting Game",2020,6,929.18,7,3,178,586727,42411,3534,128,6409,816,58,13.83
"460","Dragon Ball FighterZ","Fighting Game",2020,7,2326.59,13,5,148,805039,46921,5445,152,6944,1083,63,17.16
"461","Dragon Ball FighterZ","Fighting Game",2020,8,2142.75,11,4,158,727672,47641,50775,165,6942,979,64,15.27
"462","Dragon Ball FighterZ","Fighting Game",2020,9,1442.31,8,4,110,1223309,51392,27665,220,7446,1701,71,23.8
"463","Dragon Ball FighterZ","Fighting Game",2020,10,1487.29,22,6,126,992294,46656,12640,135,6749,1335,62,21.27
"464","Dragon Ball FighterZ","Fighting Game",2020,11,895.5,10,4,146,899064,43935,11540,143,6835,1250,61,20.46
"465","Dragon Ball FighterZ","Fighting Game",2020,12,1709.25,16,4,128,1092978,52197,34653,169,8224,1471,70,20.94
"466","Dragon Ball FighterZ","Fighting Game",2021,1,1386.75,13,4,98,1666347,76203,31142,317,12222,2242,102,21.87
"467","Dragon Ball FighterZ","Fighting Game",2021,2,1040.73,12,4,170,781944,52913,12196,188,9094,1165,78,14.78
"468","Dragon Ball FighterZ","Fighting Game",2021,3,1778,11,4,111,1725743,73145,80014,382,11841,2322,98,23.59
"469","Dragon Ball FighterZ","Fighting Game",2021,8,194.25,3,1,134,1295348,44636,50976,212,7585,1743,60,29.02
"470","F1 2020","Racing",2020,10,1947,19,1,133,947926,63834,19718,498,9195,1275,85,14.85
"471","F1 2020","Racing",2020,12,750000,21,1,91,1717209,79714,73381,548,13025,2311,107,21.54
"472","F1 2020","Racing",2021,6,288,3,1,105,1683376,114073,50240,1027,14227,2341,158,14.76
"473","F1 2021","Racing",2021,12,750000,22,1,95,2075375,105664,20615,719,14764,2793,142,19.64
"474","Farming Simulator 19","Strategy",2019,7,13316.27,24,1,179,300834,34833,5452,114,3698,404,46,8.64
"475","Farming Simulator 19","Strategy",2019,8,13351.37,24,1,154,381384,38765,4282,139,3944,513,52,9.84
"476","Farming Simulator 19","Strategy",2019,9,26393.43,40,2,157,357392,37382,5851,135,3721,497,51,9.56
"477","Farming Simulator 19","Strategy",2019,10,13349.23,24,1,150,403825,42959,5595,188,4054,543,57,9.4
"478","Farming Simulator 19","Strategy",2019,11,39722.8,41,3,142,402857,41080,5423,157,4407,560,57,9.81
"479","Farming Simulator 19","Strategy",2020,1,13180.7,24,1,148,551841,54062,5842,414,6681,742,72,10.21
"480","Farming Simulator 19","Strategy",2020,3,13205.82,24,1,131,726147,72793,7387,270,7167,977,97,9.98
"481","Farming Simulator 19","Strategy",2020,4,12909.95,24,1,135,781464,86557,11905,297,6640,1086,120,9.03
"482","Farming Simulator 19","Strategy",2020,5,12931.73,24,1,140,953265,139771,35200,529,14009,1282,188,6.82
"483","Farming Simulator 19","Strategy",2020,9,118960.23,50,1,172,636329,74393,8825,263,5693,885,103,8.55
"484","Farming Simulator 19","Strategy",2020,11,18065.02,24,1,122,1143995,93076,21901,320,7309,1591,129,12.29
"485","Farming Simulator 19","Strategy",2021,1,18251.76,24,1,107,1466833,105204,18862,372,8484,1974,141,13.94
"486","Farming Simulator 19","Strategy",2021,2,18190.57,24,1,141,1018756,94302,22841,379,7917,1518,140,10.8
"487","Farming Simulator 19","Strategy",2021,3,18048.26,24,1,176,934091,95046,22755,340,7989,1257,127,9.83
"488","Farming Simulator 19","Strategy",2021,4,18094.8,24,1,200,771697,91602,11019,319,7942,1073,127,8.42
"489","Farming Simulator 19","Strategy",2021,5,18339.94,24,1,176,919250,88128,23985,301,7389,1237,118,10.43
"490","FIFA 16","Sports",2016,1,5456.26,17,2,10,6988475,203646,145728,756,46462,9405,274,34.32
"491","FIFA 16","Sports",2016,2,8312.2,14,4,17,3534139,168112,29691,546,36279,5085,241,21.02
"492","FIFA 16","Sports",2016,3,35097.65,9,3,25,3252458,164070,26764,569,36059,4377,220,19.82
"493","FIFA 16","Sports",2016,4,398.83,3,1,15,4258276,162024,84769,593,34861,5922,225,26.28
"494","FIFA 16","Sports",2016,5,35904.69,16,4,12,5301413,170151,56085,574,39893,7135,229,31.16
"495","FIFA 16","Sports",2016,7,1155.52,5,2,25,2523942,135892,27284,406,34429,3396,182,18.57
"496","FIFA 16","Sports",2016,8,4814.28,8,1,29,1953232,120898,47210,369,27733,2628,162,16.16
"497","FIFA 17","Sports",2016,10,15000,4,1,9,8999455,213882,56735,903,40416,12112,287,42.08
"498","FIFA 17","Sports",2016,11,15305.99,37,3,8,8091939,150101,78113,505,24943,11254,208,53.91
"499","FIFA 17","Sports",2017,1,12955.2,9,3,10,9150705,182753,144454,717,36055,12315,245,50.07
"500","FIFA 17","Sports",2017,2,340561.57,42,10,11,8444745,161323,63554,564,29375,12585,240,52.35
"501","FIFA 17","Sports",2017,3,4500,3,1,12,6424389,156422,59295,541,21773,8646,210,41.07
"502","FIFA 17","Sports",2017,4,242390.8,39,11,14,6383175,153150,57931,515,22377,8877,213,41.68
"503","FIFA 17","Sports",2017,5,525587.13,51,7,12,6857441,143761,84235,586,29117,9229,193,47.7
"504","FIFA 17","Sports",2017,6,19322.9,4,2,14,6450227,142991,64637,479,29238,8971,198,45.11
"505","FIFA 17","Sports",2017,8,299443.43,31,5,30,2083503,100850,34334,368,20067,2804,135,20.66
"506","FIFA 17","Sports",2017,9,7545.61,10,5,58,795239,48510,44803,249,12695,1106,67,16.39
"507","FIFA 18","Sports",2017,11,15785.15,9,3,12,9871829,182958,88649,710,33474,13729,254,53.96
"508","FIFA 18","Sports",2017,12,28760.4,22,5,12,7948888,180986,56847,612,33584,10698,243,43.92
"509","FIFA 18","Sports",2018,1,2e+05,42,3,13,10256462,196942,143683,959,37800,13804,265,52.08
"510","FIFA 18","Sports",2018,3,135974.04,27,3,22,4622423,160993,37994,646,32105,6221,216,28.71
"511","FIFA 18","Sports",2018,4,603972.43,102,10,16,5533428,143224,88554,510,29000,7696,199,38.63
"512","FIFA 18","Sports",2018,5,572357.57,102,13,13,7120157,174963,87840,1216,36954,9582,235,40.7
"513","FIFA 18","Sports",2018,6,256343.52,66,3,26,4114384,153779,66256,630,34867,5722,213,26.76
"514","FIFA 18","Sports",2018,7,417.56,2,2,39,2523597,136475,18605,545,29492,3396,183,18.49
"515","FIFA 18","Sports",2018,8,419742.69,25,4,33,3317575,150076,76550,533,31646,4465,201,22.11
"516","FIFA 19","Sports",2018,10,61318.69,26,5,12,18416103,352648,127184,1519,57635,24786,474,52.22
"517","FIFA 19","Sports",2018,11,27299.52,13,5,13,17382638,296177,160659,1134,49889,24176,411,58.69
"518","FIFA 19","Sports",2018,12,463113.14,110,9,12,16340117,309854,167405,1063,56638,21992,417,52.73
"519","FIFA 19","Sports",2019,1,363000,72,3,9,18618028,355185,284483,1434,61024,25057,478,52.42
"520","FIFA 19","Sports",2019,2,229750,63,4,13,10804281,257564,92237,1082,44591,16101,383,41.95
"521","FIFA 19","Sports",2019,3,152693.66,20,4,14,11890762,269564,284352,969,44485,16003,362,44.11
"522","FIFA 19","Sports",2019,4,346500,94,3,14,10112664,247164,109147,944,42988,14064,343,40.91
"523","FIFA 19","Sports",2019,5,564060,67,7,13,10789811,263902,134539,1192,44941,14521,355,40.89
"524","FIFA 19","Sports",2019,6,4518.76,9,3,20,8344852,229615,61844,846,35289,11606,319,36.34
"525","FIFA 19","Sports",2019,7,5e+05,128,2,22,5644862,184793,157634,689,28856,7597,248,30.55
"526","FIFA 19","Sports",2019,8,530388.57,49,3,28,4139297,156032,163812,581,25701,5571,210,26.53
"527","FIFA 20","Sports",2019,9,2054.62,3,4,10,18620218,194424,183987,2047,29956,25897,270,95.77
"528","FIFA 20","Sports",2019,10,15631.16,13,9,9,25607373,422931,149965,1463,46820,34464,569,60.55
"529","FIFA 20","Sports",2019,11,403660.1,114,6,11,22317955,327544,222599,1139,42197,31040,455,68.14
"530","FIFA 20","Sports",2019,12,54013.08,17,1,12,17434162,304107,249600,1106,41416,23464,409,57.33
"531","FIFA 20","Sports",2020,1,216402.71,76,5,9,23787522,354761,365896,1693,49934,32015,477,67.05
"532","FIFA 20","Sports",2020,2,365897.65,117,7,13,16522429,303186,117164,1091,41810,23773,436,54.5
"533","FIFA 20","Sports",2020,3,5000.72,4,4,14,19820823,419590,227013,2196,62395,26676,564,47.24
"534","FIFA 20","Sports",2020,4,10000,6,4,12,26722751,708342,252777,3825,87226,37166,985,37.73
"535","FIFA 20","Sports",2020,5,12500,12,5,10,40390175,941357,256298,4961,105866,54360,1266,42.91
"536","FIFA 20","Sports",2020,6,440061.12,90,5,14,24651716,651649,205599,2865,77416,34286,906,37.83
"537","FIFA 20","Sports",2020,7,378928,85,7,20,14270255,504971,87350,1621,56403,19206,679,28.26
"538","FIFA 20","Sports",2020,8,212797.6,27,4,25,8625837,380872,41935,1235,46172,11609,512,22.65
"539","FIFA 21","Sports",2020,12,1e+05,16,2,12,43110526,902019,304406,3646,102912,58022,1214,47.79
"540","FIFA 21","Sports",2021,1,60000,36,3,10,55385122,1180415,837094,7733,137198,74542,1588,46.92
"541","FIFA 21","Sports",2021,2,295000,54,7,12,37502320,974524,257659,4445,115245,55890,1452,38.48
"542","FIFA 21","Sports",2021,3,54994.4,4,1,11,36861958,943057,328568,5109,109564,49612,1269,39.09
"543","FIFA 21","Sports",2021,5,279871.85,19,3,12,36205907,832620,218764,3253,88591,48729,1120,43.48
"544","FIFA 21","Sports",2021,6,654268.28,88,7,16,18985641,547143,141825,2243,65953,26405,760,34.7
"545","FIFA 21","Sports",2021,7,8e+05,63,2,25,14524522,545855,93105,1773,64768,19548,734,26.61
"546","FIFA 21","Sports",2021,8,1000,4,1,28,10862711,494339,61977,1579,56917,14620,665,21.97
"547","FIFA 22","Sports",2021,11,28622.56,16,1,12,35562828,767737,240764,2767,80957,49461,1067,46.32
"548","FIFA Online 4","Sports",2018,11,240000,37,1,147,381516,3053,28239,19,462,530,4,124.96
"549","FIFA Online 4","Sports",2019,5,239000,36,1,101,775775,4038,31446,23,660,1044,5,192.12
"550","FIFA Online 4","Sports",2019,12,198000,36,1,89,934434,3546,60597,19,641,1257,4,263.52
"551","Fortnite","Battle Royale",2018,2,8690.78,12,1,2,65693934,3446094,261996,10523,400784,97904,5135,19.06
"552","Fortnite","Battle Royale",2018,3,13316.4,14,2,1,118391174,6062527,862789,17082,741423,159342,8159,19.53
"553","Fortnite","Battle Royale",2018,4,60537.75,78,3,1,128654925,7309656,657462,18292,877646,178935,10166,17.6
"554","Fortnite","Battle Royale",2018,5,52934.56,61,6,1,144602326,7645739,576926,18000,930299,194619,10290,18.91
"555","Fortnite","Battle Royale",2018,6,115159.8,101,11,1,126859989,6797681,1460297,23749,847488,176439,9454,18.66
"556","Fortnite","Battle Royale",2018,7,2387370.12,219,26,1,152086231,8073931,827125,19495,945248,204692,10866,18.84
"557","Fortnite","Battle Royale",2018,8,4132307.15,435,26,1,131436549,8166820,687062,17450,974227,176899,10991,16.09
"558","Fortnite","Battle Royale",2018,9,2860985.77,250,23,1,106325201,7407787,743971,20180,900461,147879,10302,14.35
"559","Fortnite","Battle Royale",2018,10,8898886.68,713,37,1,112125020,6638650,591205,20952,822907,150908,8934,16.89
"560","Fortnite","Battle Royale",2018,11,167586.1,153,23,1,107793716,6629217,1077180,34564,800661,149921,9220,16.26
"561","Fortnite","Battle Royale",2018,12,1182561.89,311,18,1,118143183,9027163,418403,22408,1013029,159008,12149,13.09
"562","Fortnite","Battle Royale",2019,1,315778.46,69,12,1,126502656,10205058,649136,56274,1013016,170259,13734,12.4
"563","Fortnite","Battle Royale",2019,2,752876.79,210,24,3,84064959,7238650,658887,67544,810687,125283,10787,11.61
"564","Fortnite","Battle Royale",2019,3,957055.56,667,32,2,101265583,8373592,424746,23473,888542,136292,11269,12.09
"565","Fortnite","Battle Royale",2019,4,3606031.61,867,41,1,100443090,7536634,465998,21968,884315,139698,10482,13.33
"566","Fortnite","Battle Royale",2019,5,4095331.48,733,41,1,107228121,6801136,590940,51473,846724,144317,9153,15.77
"567","Fortnite","Battle Royale",2019,6,5100715.49,719,32,1,92750132,5793509,483267,15367,676020,128998,8057,16.01
"568","Fortnite","Battle Royale",2019,7,36713555.9,785,33,1,90508922,5704941,1299699,47033,619076,121815,7678,15.87
"569","Fortnite","Battle Royale",2019,8,3443750.01,934,50,1,89053008,5436945,357529,14870,596217,119856,7317,16.38
"570","Fortnite","Battle Royale",2019,9,8773453.96,1114,81,4,60441768,3521012,329388,9472,406624,84063,4897,17.17
"571","Fortnite","Battle Royale",2019,10,186556.86,166,14,2,79089347,3933947,1611930,43173,437772,106445,5294,20.1
"572","Fortnite","Battle Royale",2019,11,1091425,462,23,3,58552659,3529438,405467,10287,429521,81436,4908,16.59
"573","Fortnite","Battle Royale",2019,12,7763547.89,960,17,3,64228513,3857516,942880,35639,470255,86444,5191,16.65
"574","Fortnite","Battle Royale",2020,1,13300,30,1,4,53731549,4399954,595541,11303,502688,72317,5921,12.21
"575","Fortnite","Battle Royale",2020,2,517925.35,183,3,3,55475583,3975899,273169,11837,427073,79820,5720,13.95
"576","Fortnite","Battle Royale",2020,3,281250,417,12,5,66249206,4750140,289330,12948,497697,89164,6393,13.95
"577","Fortnite","Battle Royale",2020,4,1572600,616,18,4,97700836,7413195,832660,59676,565926,135884,10310,13.18
"578","Fortnite","Battle Royale",2020,5,2284400,528,21,4,122842189,10245704,623197,39752,749518,165332,13789,11.99
"579","Fortnite","Battle Royale",2020,6,1e+05,66,3,3,111733315,9686644,2331987,115814,733031,155400,13472,11.53
"580","Fortnite","Battle Royale",2020,7,183600,107,3,3,105305814,8882333,328230,21039,681016,141730,11954,11.86
"581","Fortnite","Battle Royale",2020,8,1364850,501,15,4,98814094,7962195,497250,21768,663479,132993,10716,12.41
"582","Fortnite","Battle Royale",2020,9,531999,547,31,4,77824133,6265599,271740,17083,561921,108239,8714,12.42
"583","Fortnite","Battle Royale",2020,10,597700,363,13,4,85559924,5777917,388650,15148,533320,115154,7776,14.81
"584","Fortnite","Battle Royale",2020,11,1502542.39,358,8,3,82963986,6162249,488655,25246,563077,115388,8570,13.46
"585","Fortnite","Battle Royale",2020,12,59000,20,2,2,108692225,7231028,1585293,129860,667652,146288,9732,15.03
"586","Fortnite","Battle Royale",2021,1,82600,100,1,5,101306583,7396984,997440,19348,689937,136348,9955,13.7
"587","Fortnite","Battle Royale",2021,2,9966.68,30,1,4,107665720,6523956,541227,18890,644071,160455,9722,16.5
"588","Fortnite","Battle Royale",2021,3,2299850,371,6,4,117342947,7181301,778187,20333,703686,157931,9665,16.34
"589","Fortnite","Battle Royale",2021,4,138856.6,147,12,5,94112337,5810309,498791,17790,588089,130893,8081,16.2
"590","Fortnite","Battle Royale",2021,5,2297760,339,11,6,91858834,4994610,456652,14339,484887,123632,6722,18.39
"591","Fortnite","Battle Royale",2021,6,1313300.02,222,7,7,70802599,5069896,343301,15889,492980,98473,7051,13.97
"592","Fortnite","Battle Royale",2021,9,1951200,195,2,8,60226831,4160495,1186225,82928,415949,83764,5786,14.48
"593","Fortnite","Battle Royale",2021,10,1376200,113,2,10,58780907,3799080,287301,9757,359321,79112,5113,15.47
"594","Gears 5","Third-Person Shooter",2019,7,2e+05,40,1,85,840584,20072,57682,681,4601,1131,27,41.88
"595","Gears 5","Third-Person Shooter",2019,12,360000,92,5,105,702406,38396,22537,146,5866,945,51,18.29
"596","Gears 5","Third-Person Shooter",2020,3,364000,101,5,157,560321,36712,15312,152,4770,754,49,15.26
"597","Gears 5","Third-Person Shooter",2020,4,89000,65,3,168,570857,62120,5776,210,5809,793,86,9.19
"598","Gears 5","Third-Person Shooter",2020,5,321000,95,3,132,990327,67092,22707,223,5812,1332,90,14.76
"599","Gears 5","Third-Person Shooter",2020,7,199000,95,4,132,985982,84826,10839,367,7718,1327,114,11.62
"600","Gears 5","Third-Person Shooter",2020,8,250000,60,1,150,804652,84119,19520,291,7958,1082,113,9.57
"601","Gears of War 4","Third-Person Shooter",2016,10,28415,40,6,25,2791837,158079,33818,1239,27314,3757,212,17.66
"602","Gears of War 4","Third-Person Shooter",2016,11,317870,70,8,59,748676,61843,35497,237,10486,1041,86,12.11
"603","Gears of War 4","Third-Person Shooter",2016,12,155000,40,2,89,480599,49819,11738,155,2483,646,67,9.65
"604","Gears of War 4","Third-Person Shooter",2017,1,1e+05,40,1,94,563639,52945,19350,162,10778,758,71,10.65
"605","Gears of War 4","Third-Person Shooter",2017,2,500,5,1,111,301616,39600,5862,137,7202,449,59,7.62
"606","Gears of War 4","Third-Person Shooter",2017,4,202000,60,5,49,890921,35830,42896,129,4546,1239,49,24.87
"607","Gears of War 4","Third-Person Shooter",2017,5,101000,40,3,71,708303,35709,25967,125,5977,953,48,19.84
"608","Gears of War 4","Third-Person Shooter",2017,6,3e+05,60,1,65,824193,35416,39697,121,6057,1146,49,23.27
"609","Gears of War 4","Third-Person Shooter",2017,9,500,5,1,142,252280,27754,3262,104,3979,350,38,9.09
"610","Gears of War 4","Third-Person Shooter",2017,11,60000,46,3,158,228878,22768,7982,87,3563,318,31,10.05
"611","Gears of War 4","Third-Person Shooter",2017,12,3e+05,60,1,113,429950,25242,18369,96,4011,578,33,17.03
"612","Gears of War 4","Third-Person Shooter",2018,1,2e+05,60,1,85,687424,28634,23089,104,4240,925,38,24.01
"613","Gears of War 4","Third-Person Shooter",2018,3,2000,15,1,145,278746,26350,6822,98,4257,375,35,10.58
"614","Gears of War 4","Third-Person Shooter",2018,4,2e+05,60,1,106,524196,25380,16680,119,4444,729,35,20.65
"615","Gears of War 4","Third-Person Shooter",2018,7,250000,55,1,102,706837,30065,47320,117,4818,951,40,23.51
"616","Gears of War 4","Third-Person Shooter",2018,8,20000,20,1,153,319883,31604,6421,115,4679,430,42,10.12
"617","Gears of War 4","Third-Person Shooter",2018,9,250000,19,1,99,563623,26371,19003,115,4051,783,36,21.37
"618","Gears of War 4","Third-Person Shooter",2018,11,1e+05,5,1,136,430345,23960,10528,97,3481,598,33,17.96
"619","Gears of War 4","Third-Person Shooter",2019,2,2e+05,60,1,99,672789,29429,26206,131,4064,1002,43,22.86
"620","Gears of War 4","Third-Person Shooter",2019,4,3e+05,15,1,104,718052,33780,28910,131,4724,998,46,21.26
"621","Gears of War: Ultimate Edition","Third-Person Shooter",2016,1,60000,16,1,88,386607,23304,16292,77,4304,520,31,16.59
"622","Gears of War: Ultimate Edition","Third-Person Shooter",2016,4,60000,24,1,140,159608,15519,9910,84,3405,221,21,10.28
"623","Granblue Fantasy: Versus","Fighting Game",2020,3,517,4,2,75,1452885,37629,29261,196,5651,1955,50,38.61
"624","Granblue Fantasy: Versus","Fighting Game",2020,4,1220.64,5,4,138,754997,24989,17393,162,3166,1050,34,30.21
"625","Granblue Fantasy: Versus","Fighting Game",2020,5,1002.81,8,5,199,531656,15005,8273,62,1941,715,20,35.43
"626","Guild Wars 2","Role-Playing Game",2016,2,1e+05,20,1,90,316227,21966,5146,70,2628,455,31,14.4
